Infraccio_Codi;Infraccio_Desc_Curta_CA;Infraccio_Desc_Curta_ES;Infraccio_Desc_Llarga_CA;Infraccio_Desc_Llarga_ES;Data_Inici_Vigencia;Data_Fi_Vigencia;Article;Normativa;Import_Nominal_?;Tipus_Infraccio;Punts_A_Retirar;Autoritat
910;NO IDENTIFIC CONDUCT RESPONS INFRACCIO;NO IDENTIFIC CONDUCT RESPONS INFRACCION;;-;2005-03-16;9999-12-31;77. J;LSV;301;E;0;Il.lm./a Sr./a Regidor/a del Districte
912;NO IDENTIFICAR EL CONDUCTOR RESPONSABLE DE LA INFRACCIO;NO IDENTIFICAR AL CONDUCTOR RESPONSABLE DE LA INFRACCION;;-;1900-01-03;9999-12-31;77. J;LSV;301;E;0;Il.lm./a Sr./a Regidor/a del Districte
913;NO IDENTIFICAR EL CONDUCTOR RESPONSABLE DE LA INFRACCIO;NO IDENTIFICAR AL CONDUCTOR RESPONSABLE DE LA INFRACCION;;-;1900-01-03;9999-12-31;77. J;LSV;1000;E;0;Il.lm./a Sr./a Regidor/a del Districte
1001;INSTAL SENYAL V PUB SENSE PERMIS O CAUSA;INSTAL SENAL V PUBL SIN PERMISO O CAUSA;Instal.lar senyalitzacio en una via publica sense autoritzacio municipal o sense causa greu que ho justifiqui;-;2003-05-21;9999-12-31;73.C A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1002;COL.LOC SOBRE SENYAL/COSTAT OBJ PUBLICIT;COLOCAR SOBRE SENAL/LADO OBJETO PUBLICIT;Col.locar publicitat a sobre o al costat dels senyals;-;2003-05-21;9999-12-31;73.B A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1003;COL.LOC OBJ QUE ENLL/LIMITI VISIO SENYAL;COLOC OBJ QUE DESLUM/LIMIT VISION SENAL;Col.locar objectes o instal.lacions que enlluernin, dificultin la visio d'algun senyal o distreguin l'atencio;-;2003-05-21;9999-12-31;73.C B;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1004;COL.LOCAR SENSE AUT OBST/OBJ DEST CIRCUL;COLOCAR SIN AUTOR OBST/OBJ ENTORP CIRCUL;Col.locar a la via publica obstacles o objectes que destorbin o pertorbin la circulacio de vianants o vehicles sense autoritzacio.;-;2003-05-21;9999-12-31;73.A H;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1005;COL OBST AUTOR SENSE PROT/SENYAL/IL.LUM;COL OBST AUTOR SIN PROTEC/SENAL/ILUMINA;Col.locar a la via publica un obstacle, estant autoritzat, sense proteccio, senyalitzacio i/o il.luminacio que garanteixi la seguretat dels usuaris;-;2003-05-21;9999-12-31;62. 2;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1006;CIRCULAR O ATURAR-SE A LA CALCADA;CIRCULAR O PARARSE EN LA CAZADA;Circular per la calcada o aturar-s'hi creant perill o pertorbant la fluidesa del transit.;-;2002-01-01;9999-12-31;5. 1;OCVV;30;M;0;Il.lm./a Sr./a Regidor/a del Districte
1007;CREUAR CALCADA NO FENT CAS DEL SENYAL;CRUZAR CALZADA NO HACIENDO CASO DE SENAL;Travessar la calcada sense fer cas de les indicacions dirigides als vianants;-;2002-01-01;9999-12-31;5. 3;OCVV;30;M;0;Il.lm./a Sr./a Regidor/a del Districte
1008;CREUAR CALCADA FORA PAS VIANANT S/PRECAU;CRUZAR CALZADA FUERA PASO PEAT S/PRECAUC;Travessar la calcada fora del lloc destinat al pas de vianants, o fer-ho sense les precaucions necessaries.;-;2002-01-01;9999-12-31;5. 2;OCVV;30;M;0;Il.lm./a Sr./a Regidor/a del Districte
1010;PUJ/BAIX VEH COST CALCADA CREANT PERILL;SUB/BAJAR VEH LADO CALZADA CREANDO PELIG;Pujar al vehicle o baixar-ne pel costat de la calcada creant perill.;-;2017-02-15;9999-12-31;70.2 P;OCVV;40;M;0;Il.lm./a Sr./a Regidor/a del Districte
1011;PARAR CARR/PLAC S/VORERES MENYS 1M FACAN;PARAR CALL/PLAZ S/ACERAS MENOS 1M FACHAD;Parar en carrers o places sense vorera sense ajustar-se a la distancia minima d'un metre de la facana.;-;2002-01-01;9999-12-31;70.2 P;OCVV;30;E;0;Il.lm./a Sr./a Regidor/a del Districte
1012;PARAR TUNEL/CORBA/CANVI RASANT VISIB RED;PARAR TUNEL/CURVA/CAMBIO RASAN VISIB RED;Parar en un revolt o un canvi de rasant amb visibilitat reduida o tunel.;-;2003-05-21;9999-12-31;70.2 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1013;PARAR-SE EN PAS DE CICLISTES;PARARSE EN PASO DE CICLISTAS;Parar en un pas de ciclistes.;-;2010-05-25;9999-12-31;70.2 B;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1014;PARAR-SE EN PAS PER A VIANANTS;PARARSE EN PASO DE PEATONES;Parar en un pas de vianants.;-;2010-05-25;9999-12-31;70.2 B;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1015;PARAR ZONA VIANANTS -ILLA PEATONAL-;PARAR ZONA PEATONES -ISLA PEATONAL-;Parar en una area de vianants.;-;2002-01-01;9999-12-31;70.2 O;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1016;PARAR-SE EN VORERA O ANDANA;PARARSE EN ACERA O ARCEN;Parar a la vorera o el voral.;-;2002-01-01;9999-12-31;70.2 L;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1017;PARAR-SE EN CARRIL BUS;PARARSE EN CARRIL BUS;Parar al carril BUS.;-;2010-05-25;9999-12-31;70.2 G;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1018;PARAR-SE PARADA DE TRANSPORT PUBLIC;PARARSE EN PARADA DE TRANSPORTE PUBLICO;Parar en parades de transport public.;-;2002-01-01;9999-12-31;70.2 H;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1019;PARAR-SE EN ZONES RESERVADES;PARARSE EN ZONAS RESERVADAS;Parar en zones reservades;-;2002-01-01;9999-12-31;70.2 P;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1020;PARAR-SE EN CRUILLA O INTERSECCIO;PARARSE EN CRUCE O INTERSECCION;Parar en cruilles o interseccions;-;2002-01-01;9999-12-31;70.2 D;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1021;PARAR LLOC IMPED VISIBIL TRANSIT/SENYALS;PARAR IMPIDIENDO VISIBIL TRAFICO/SENALES;Parar en llocs on s'impedeixi la visibilitat del transit o dels senyals o s'obligui els usuaris a fer maniobres;-;2003-05-21;9999-12-31;70.2 F;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1023;PARAR-SE DOBLE FILA DIFICULTANT LA CIRC;PARARSE DOBLE FILA DIFICULTANDO LA CIRC;Parar en doble fila obstaculitzant la circulacio.;-;2002-01-01;9999-12-31;70.2 N;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1025;PARAR-SE AL COSTAT O SOBRE ANDANA;PARARSE AL LADO O ENCIMA DE ANDEN;Parar al costat o sobre les andanes.;-;2002-01-01;9999-12-31;70.2 L;OCVV;30;E;0;Il.lm./a Sr./a Regidor/a del Districte
1026;PARAR AL COSTAT O SOBRE PASSEIG/REFUGI;PARAR AL LADO O SOBRE PASEO/REFUGIO;Parar al costat o sobre un passeig o refugi.;-;2002-01-01;9999-12-31;70.2 L;OCVV;30;E;0;Il.lm./a Sr./a Regidor/a del Districte
1027;PARAR ZONES SENYALIT FRANGES PAVIMENT;PARAR ZONAS SENALIZAD FRANJAS PAVIMENTO;Parar en zones senyalitzades amb franges al paviment.;-;2002-01-01;9999-12-31;70.2 L;OCVV;30;E;0;Il.lm./a Sr./a Regidor/a del Districte
1028;PARAR LLOC PROHIBIT SENYAL CORRESPONENT;PARAR LUGAR PROHIBIDO SENAL CORRESPOND;Parar en llocs on ho prohibeix la senyalitzacio corresponent;-;2002-01-01;9999-12-31;70.2 O;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1029;ESTACIONAR EN CARRIL BICICLETES;ESTACIONAR EN CARRIL BICICLETAS;Estacionar en un carril bicicleta;Estacionar en un carril bicicleta;2022-03-21;9999-12-31;76. D;LSV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1030;FORCAR MARXES/ACCELERACIONS BRUSQUES;FORZAR MARCHAS/ACELERACIONES BRUSCAS;Forcar marxes o acceleracions brusques.;-;2003-05-21;9999-12-31;12. 2;OCVV;90;M;0;Il.lm./a Sr./a Regidor/a del Districte
1031;ESTAC BATERIA ZONA DESTIN CORDO O VICEV;ESTAC BATERIA ZONA DESTIN CORDON O VICEV;Estacionar en bateria en una zona destinada a cordo o viceversa.;-;2010-05-25;9999-12-31;70.2 O;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1032;ESTAC VEHI SENSE MESURES EVITAR MOVIMEN;ESTAC VEHI SIN MEDIDAS EVITAR MOVIMIENTO;Estacionar un vehicle sense prendre les mesures reglamentaries que n'evitin la posada en moviment.;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1033;ESTACION REMOLC SEPARAT VEHICLE TRACTOR;ESTACION REMOLQUE SEPARADO VEHIC MOTOR;Estacionar un remolc separat del vehicle motor;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1034;ESTACIONAMENT PROHIBIT SENYAL CORRESPON;ESTACIONAMIENTO PROHIBIDO SENAL CORRESP;Estacionar alla on ho prohibeix el senyal corresponent;-;2017-04-07;9999-12-31;70.2 O;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1035;ESTAC TUNEL/CORBA/CANVI RASANT VISIB RED;ESTAC TUNEL/CURVA/CAMBIO RASAN VISIB RED;Estacionar en un revolt o un canvi de rasant amb visibilitat reduida o tunel.;-;2010-05-25;9999-12-31;70.2 A;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1036;ESTACIONAR EN PAS DE CICLISTES;ESTACIONAR EN PASO DE CICLISTAS;Estacionar en passos per a ciclistes.;Estacionar en pasos para ciclistas;2022-03-21;9999-12-31;76. D;LSV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1037;ESTACIONAR EN PAS PER A VIANANTS;ESTACIONAR EN PASO PARA PEATONES;Estacionar en passos de vianants.;-;2010-05-25;9999-12-31;70.2 B;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1038;ESTACION EN ZONA VIANANTS -ILLA PEATONAL;ESTACION EN ZONA PEATONES -ISLA PEATONAL;"Estacionar en una zona per a vianants \\""\""\""arees de vianants\""\""\""\"".""";-;2010-05-25;9999-12-31;70.2 O;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1039;ESTACIONAR EN CARRIL BUS;ESTACIONAR EN CARRIL BUS;Estacionar en un carril BUS.;-;2006-01-01;9999-12-31;70.2 G;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1040;ESTACIONAR EN PARADA TRANSPORT PUBLIC;ESTACIONAR EN PARADA TRANSPORTE PUBLICO;Estacionar en parades de transport public.;-;2010-05-25;9999-12-31;70.2 H;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1041;ESTACIONAR A LES ZONES RESERVADES;ESTACIONAR EN ZONAS RESERVADAS;Estacionar en  una zona reservada;-;2010-05-25;9999-12-31;70.2 C;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1042;ESTACIONAR EN CRUILLA O INTERSECCIO;ESTACIONAR EN CRUCE O INTERSECCION;Estacionar en cruilles o interseccions.;-;2010-05-25;9999-12-31;70.2 D;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1043;ESTAC LLOC IMPEDINT VISIB TRANSIT/SENYAL;ESTAC LUGAR IMPIDIEN VISIB TRAFICO/SENAL;Estacionar en llocs on s'impedeixi la visibilitat del transit o dels senyals o s'obligui els usuaris a fer maniobres;-;2010-05-25;9999-12-31;70.2 F;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1045;ESTACION SOBRESORTINT VERTEX DEL XAMFRA;ESTAC SOBRESALIENDO VERT CHAFLAN/ESQUINA;Estacionar sobrepassant el vertex del xamfra o la cantonada obstaculitzant la circulacio.;-;2010-05-25;9999-12-31;70.2 D;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1046;ESTAC DOBLE FILA VEHIC/CONTEN/ELEM PROT;ESTAC DOBLE FILA VEHIC/CONTEN/ELEM PROT;Estacionar en doble fila;-;2010-05-25;9999-12-31;70.2 N;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1047;ESTACIONAR EN PLENA CALCADA;ESTACIONAR EN PLENA CALZADA;Estacionar en plena calcada.;-;2010-05-25;9999-12-31;70.2 F;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1048;ESTACION CALCADA D UN CARRIL CADA SENTIT;ESTAC CALZADA CON UN CARRIL CADA SENTIDO;Estacionar en una calcada amb capacitat per a un sol carril.;-;2010-05-25;9999-12-31;70.2 F;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1049;ESTAC DIST INFER 5 M ALINEACIO VORADA CARRER TRANSVERSAL;ESTAC DIST INFER 5 M ALINEACIO BORDILLO CALLE TRANSVERSAL;Estacionar a menys de 5 m de l'alineacio de la vorada dels carrers transversals, fet que dificulta la maniobra de gir;-;2010-05-25;9999-12-31;70.2 D;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1050;ESTACIONAR EN VORERA;ESTACIONAR EN ACERA;Estacionar a la vorera;-;2010-05-25;9999-12-31;70.2 L;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1051;ESTACIONAR EN ANDANA/PARTERRE/REFUGI;ESTACIONAR EN ANDEN/PARTERRE/REFUGIO;Estacionar en una andana, en un parterre o en un refugi.;-;2010-05-25;9999-12-31;70.2 L;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1052;ESTACIONAR EN PASSEIG CENTRAL O LATERAL;ESTACIONAR EN PASEO CENTRAL O LATERAL;Estacionar en un passeig central o lateral.;-;2010-05-25;9999-12-31;70.2 L;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1053;ESTACION ZONA SENYAL FRANGES AL PAVIMENT;ESTACION ZONA SENALIZ FRANJAS PAVIMENTO;Estacionar en una zona senyalitzada amb marques al paviment.;-;2010-05-25;9999-12-31;70.2 L;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1054;ESTACIONAR AL COSTAT D ANDANA O REFUGI;ESTACIONAR AL LADO DE ANDEN O REFUGIO;Estacionar al costat d'andanes o refugis.;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1055;ESTAC COSTAT PASSEIG CENTRAL O LATERAL;ESTACION LADO DE PASEO CENTRAL O LATERAL;Estacionar al costat d'un passeig central o lateral.;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1056;ESTAC COSTAT ZONA SENYALIT FRANGES PAVIM;ESTAC LADO ZONA SENALIZAD FRANJAS PAVIM;Estacionar al costat de zones senyalitzades amb franges al paviment.;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1057;ESTAC EN LLOC ON ES PROHIBEIX LA PARADA;ESTAC EN LUGAR DONDE SE PROHIBE PARADA;Estacionar en llocs on es prohibeix la parada.;-;2010-05-25;9999-12-31;70.2 O;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1058;CIRCULAR VEHICLE ESCAPAMENT GASOS LLIURE;CIRCULAR VEHICULO CON ESCAPE GASES LIBRE;Circular un vehicle de motor amb escapament de gasos lliure.;-;2003-05-21;9999-12-31;12. 2;OCVV;90;M;0;Il.lm./a Sr./a Regidor/a del Districte
1059;CIRCULAR VEHICLE SILENCIADOR INADEQUAT;CICULAR VEHICULO SILENCIADOR INADECUADO;Circular un vehicle de motor amb un silenciador incomplet, inadequat o deteriorat, o amb un tub ressonador.;-;2003-05-21;9999-12-31;12. 2;OCVV;90;M;0;Il.lm./a Sr./a Regidor/a del Districte
1060;EST ZONA CAR/DES I VEH COM SENSE EFEC OP;EST ZONA CAR/DES Y VEH COMER SIN EFEC OP;Estacionar en una zona senyalitzada com a zona reservada de carrega i descarrega de mercaderies;-;2010-05-25;9999-12-31;70.2 J;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1061;ESTAC DAVANT DE GUAL DEGUDAMENT SENYALIT;ESTAC DELANTE DE VADO DEBIDAMENT SENALIZ;Estacionar de forma total o parcial en guals degudament senyalitzats.;-;2010-05-25;9999-12-31;70.2 M;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1062;ESTAC MES 8 DIES CONSECUT UN MATEIX LLOC;ESTAC MAS 8 DIAS CONSECUTIV MISMO LUGAR;Estacionar mes de 8 dies consecutius en un mateix lloc.;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1063;ESTACION FORA PERIM ASSENYALAT PAVIMENT;ESTACION FUERA PERIMETRO SENALADO PAVIM;Estacionar fora del perimetre senyalat al paviment.;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1064;ESTACION CARRER URBANITZAT SENSE VORERES;ESTACION EN CALLE URBANIZADA SIN ACERAS;Estacionar en carrers urbanitzats sense voreres.;-;2010-05-25;9999-12-31;70.2 Q;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1066;CIRCULAR PER VORERA AMB MOTOCICLETA;CIRCULAR POR ACERA CON MOTOCICLETA;Circular per la vorera amb una motocicleta.;-;2015-11-07;9999-12-31;121. 5;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
1069;CIRCULAR PER VORERA AMB CICLOMOTOR;CIRCULAR POR ACERA CON CICLOMOTOR;Circular per la vorera amb un ciclomotor.;-;2015-11-07;9999-12-31;121. 5;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
1070;ESTACION TRIMESTRE DIFICULTAN CIRCULACIO;ESTACION TRIMESTRE DIFICULTANDO CIRCULAC;Estacionar al costat correcte pero dificultant la circulacio a causa de l'existencia de vehicles que encara no han fet el canvi.;-;2010-05-25;9999-12-31;30. 2;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1071;MANCA DE COMPROVANT HORARI;FALTA DE COMPROBANTE HORARIO;Falta de comprovant horari.;-;2010-05-25;9999-12-31;70.2 I;OCVV;50;E;0;Il.lm./a Sr./a Regidor/a del Districte
1072;SUPERAR LIMIT HORARI;SUPERAR LIMITE DE HORARIO;Sobrepassar el limit horari;-;2010-05-25;9999-12-31;70.2 I;OCVV;40;E;0;Il.lm./a Sr./a Regidor/a del Districte
1073;CIRCULAR ANDANA/PASSEIG AMB CICLOMOTOR;CIRCULAR POR ANDEN/PASEO CON CICLOMOTOR;Circular per l'andana o per un passeig amb un ciclomotor.;-;2015-11-07;9999-12-31;121. 5;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
1077;TRANSP MATER PERILL FORA HORES PERMESES;TRANSP MATER PELIGR FUERA HORAS PERMITID;Circular fora de l'horari autoritzat un vehicle que transporta mercaderies especialment perilloses;-;2010-05-25;9999-12-31;19.2 E;OCVV;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
1079;EFECTUAR PARADA EN CARRIL-BICI;EFECTUAR PARADA EN CARRIL-BICI;Parar al carril BICI.;-;2002-01-01;9999-12-31;70.2 G;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1080;ESTAC MOTO/CICLOMOT VORERA INFERIOR A 3M;ESTAC MOTO/CICLOMOT ACERA INFERIOR A 3 M;Estacionar una motocicleta o un ciclomotor en una vorera inferior a 3 m.;-;2010-05-25;9999-12-31;70.2 L;OCVV;50;E;0;Il.lm./a Sr./a Regidor/a del Districte
1081;ESTAC MOTO/CICLOM MES 50 CM LINEA VORERA;ESTAC MOTO/CICLOM MAS 50 CM LINEA ACERA;Estacionar una motocicleta o un ciclomotor a mes de 0,50 m de la linia de vorada.;-;2010-05-25;9999-12-31;70.2 L;OCVV;50;E;0;Il.lm./a Sr./a Regidor/a del Districte
1083;ES MOT/CICL MENYS 2M PAS VIAN/PAR TRAN P;ES MOT/CICL MENOS 2M PAS PEAT/PAR TRAN P;Estacionar una motocicleta o un ciclomotor a menys de 2 m dels limits de pas de vianants o parada de transport public.;-;2010-05-25;9999-12-31;70.2 L;OCVV;50;E;0;Il.lm./a Sr./a Regidor/a del Districte
1084;ESTAC MOTO/CIC CALCADA OCUP AMPL SUP 1.5;ESTAC MOTO/CIC CALZADA OCUP ANCH SUP 1.5;Estacionar una motocicleta o un ciclomotor a la calcada ocupant una amplada superior a 1,50 m o no fer-ho en semibateria.;-;2010-05-25;9999-12-31;70.2 L;OCVV;50;E;0;Il.lm./a Sr./a Regidor/a del Districte
1085;EFECTUAR PARADA EN PARADA AUTOBUSOS;EFECTUAR PARADA EN PARADA AUTOBUSES;Parar en parades d'autobus.;-;2002-01-01;9999-12-31;70.2 H;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1086;EFECTUAR PARADA EN VIA RAPIDA/PREFERENT;EFECTUAR PARADA EN VIA RAPIDA/PREFERENTE;Parar en una via rapida i d'atencio preferent;-;2002-01-01;9999-12-31;70.2 O;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1087;ESTAC EN ZONA EXCLUSIVA VEHICLES PERSONES AMB DISCAPACITAT;ESTAC EN ZONA EXCLUSIVA VEHICULO PERSONAS CON DISCAPACIDAD;Estacionar en zones senyalitzades per a us exclusiu de vehicles conduits o ocupats per persones titulars d'una targeta d'estacionament per a persones amb mobilitat reduida/diversitat funcional;-;2010-05-25;9999-12-31;70.2 K;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1088;MANCA MANTENIMENT ZONA RESERV ESTACIONAM;FALTA MANTENIMIENTO ZONA RESERV ESTACION;Incomplir l'obligacio de pintar, senyalitzar i mantenir la zona de reserva d'estacionament.;-;2002-01-01;9999-12-31;73.1 A;OCVV;120;E;0;Il.lm./a Sr./a Regidor/a del Districte
1089;SENYALITZ INADEQUADA RESERVA ESTACIONAME;SENALIZAC INADECUADA RESERVA ESTACIONAMI;Senyalitzar una reserva d'estacionament o d'estacionament prohibit sense ajustar-se a les caracteristiques establertes.;-;2003-05-21;9999-12-31;73.1 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1090;EFEC OPER CAR/DESC FORA ZONES/HORES AUTO;EFEC OPER CAR/DESC FUERA ZON/HORAS AUTOR;Fer operacions de carrega i descarrega fora de les zones i/o l'horari autoritzat.;-;2003-05-21;9999-12-31;73.1 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1091;DIPOSIT MERCADERIES SOBRE VORERA/CALCADA;DEPOSITAR MERCANCIAS SOBRE ACERA/CALZADA;Dipositar mercaderies o coses sobre la vorera o la calcada.;-;2003-05-21;9999-12-31;73.1 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1092;CARREGAR O DESCARREGAR SENSE PRECAUCIO;CARGAR O DESCARGAR SIN PRECAUCION;Carregar o descarregar sense les precaucions necessaries.;-;2003-05-21;9999-12-31;73.1 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1093;CARREGAR/DESCARREGAR OCASIONANT SOROLLS;CARGAR O DESCARGAR OCASIONANDO RUIDOS;Carregar o descarregar fent sorolls innecessaris.;-;2003-05-21;9999-12-31;73.1 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1094;CARREG/DESCARRG EMBRUTANT LA VIA PUBLICA;CARGAR/DESCARG ENSUCIANDO LA VIA PUBLICA;Carregar o descarregar embrutant la via publica.;-;2010-05-25;9999-12-31;73.1 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1095;EFECT CAR/DES SENSE FER-HO COSTAT VORERA;EFECT CAR/DES SIN HACERLO AL LADO ACERA;Carregar o descarregar sense fer-ho pel costat mes proxim a la vorera.;-;2002-01-01;9999-12-31;73.1 A;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1096;EFECT CAR/DES DESTORB CIRCULAC VIAN/VEH;EFECT CAR/DES ENTORPEC CIRCULAC PEAT/VEH;Carregar o descarregar dificultant la circulacio de vianants o vehicles.;-;2002-01-01;9999-12-31;73.1 A;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1097;EFECT CAR/DES SENSE UTILIT MITJ ADEQUATS;EFECT CAR/DES SIN UTILIZ MEDIOS ADECUAD;Carregar i descarregar sense utilitzar els mitjans adequats.;-;2002-01-01;9999-12-31;73.1 A;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1098;COL.LOCAR CONTENIDOR PERJUDICANT TRANSIT;COLOCAR CONTENEDOR PERJUDICANDO TRAFICO;Contenidor col.locat a la via publica fora de les zones expressament reservades;-;2003-05-21;9999-12-31;73.1 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1099;SENYALITZ RESERVA ESTAC SENSE LLICENCIA;SENALIZAR RESERVA ESTAC SIN LICENCIA;Senyalitzar una reserva d'estacionament o d'estacionament prohibit sense tenir llicencia.;-;2002-01-01;9999-12-31;73.1 A;OCVV;150;M;0;Il.lm./a Sr./a Regidor/a del Districte
1100;CIRCUL VEH NO AUTORITZ PER CARRIL RESERV;CIRCUL VEH NO AUTORIZ POR CARRIL RESERV;Circular vehicles no autoritzats per carril reservat ( BUS / taxi ) ( vehicles de dues rodes ).;-;2003-05-21;9999-12-31;15. 1;OCVV;90;M;0;Il.lm./a Sr./a Regidor/a del Districte
1101;PARADA FORA LLOC ESTABLERT TRANSPORT REGULAR/DISCRECIONAL;PARADA FUERA LUGAR ESTABLECIDO TRANS REGULAR/DISCRECIONAL;Fer parades de transport public de linia regular o discrecional sense autoritzacio o fora dels llocs establerts.;-;2010-05-25;9999-12-31;25. 1;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1104;CIRCUL VEH NO AUTORITZ PER CARRIL RESERV;CIRCUL VEH NO AUTORIZ POR CARRIL RESERV;Circular vehicles no autoritzats per carril reservat ( BUS / taxi );-;2003-05-21;9999-12-31;15. 1;OCVV;90;M;0;Il.lm./a Sr./a Regidor/a del Districte
1105;NO EFECTUAR CANVI DE NOM RESERVA ESTACIONAMENT;NO EFECTUAR CAMBIO NOMBRE RESERVA ESTAC;No fer el canvi de nom, ampliacio, reduccio o trasllat de la llicencia de la reserva d&#8217,estacionament.;-;2002-01-01;9999-12-31;38. 1;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1106;MODIF/TRASLLAT RESERV ESTAC SENSE PERMIS;MODIF/TRASLADO RESERV ESTAC SIN PERMISO;Ampliacio, reduccio i/o trasllat de la reserva d'estacionament i de l'estacionament prohibit sense autoritzacio.;-;2002-01-01;9999-12-31;38. 1;OCVV;150;E;0;Il.lm./a Sr./a Regidor/a del Districte
1107;EFECTUAR PARADA EN GUAL D'US PUBLIC;EFECTUAR PARADA EN VADO DE USO PUBLICO;Parar en guals d'us public.;-;2002-01-01;9999-12-31;70.2 M;OCVV;30;E;0;Il.lm./a Sr./a Regidor/a del Districte
