Infraccio_Codi;Infraccio_Desc_Curta_CA;Infraccio_Desc_Curta_ES;Infraccio_Desc_Llarga_CA;Infraccio_Desc_Llarga_ES;Data_Inici_Vigencia;Data_Fi_Vigencia;Article;Normativa;Import_Nominal_?;Tipus_Infraccio;Punts_A_Retirar;Autoritat
3252;CONDUIR AMB VEH CRISTAL NO PERMET VISIBI PER COLOC LLAM/ADHE;CONDUCIR VEH CRISTAL NO PERMIT VISIBI PER COLOC LAM/ADHE;Circular amb un vehicle la superficie de cristall del qual no permet al seu conductor la visibilitat diafana sobre tota la via per la col.locacio de lamines o adhesius;Circular amb un vehicle la superficie de cristall del qual no permet al seu conductor la visibilitat diafana sobre tota la via per la col.locacio de lamines o adhesius;2017-07-28;9999-12-31;19;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
3253;CIRCULAR VEH PROV LAMINES/CORTIN SENSE DUR 2 MIRALLS RETR EX;CIRCULAR VEH PROV LAMINES/CORTIN SIN  LLEV2 ESP RETR EX;Circular amb un vehicle proveit de cortinetes contra el sol en les finestres posteriors sense dur els dos miralls retrovisors exteriors reglamentaris;-;2017-07-28;9999-12-31;19;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
3254;CIRCULAR VEH PROV LLAMIN ADHES VIDRES SENE HOMOL VIDRE/LLAM;CIRCULAR VEH PROV LLMIN ADHES CRISTAL SIN HOMOL VIDRIO/LAM;Circular amb un vehicle proveit de lamines adhesives en els vidres sense tenir homologat el vidre amb la lamina incorporada;-;2017-07-28;9999-12-31;19;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
3255;COLLOCAR VEH VIDRES INTATS/ACOLORITS NO HOMOLOGAT;COLOCAR VEH VIDRIOS INTATS/CON COLOR NO HOMOLOGAT;Col.locar en el vehicle vidres tintats o acolorits no homologats;-;2017-07-28;9999-12-31;19;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
3257;INSTALLAR APARELLS EMIS LLUM/SENYAL ACUST ESPEC SENSE AUT;INSTALAR APARAT EMIS LUZ/SENAL ACUST ESPEC SIN AUT;Instal.lar aparells emissors de llum i senyals acustics especials sense l'autoritzacio corresponent;-;2017-07-28;9999-12-31;67;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
3258;NO TENER INSTAL UN VEH ESPEC SENYALIT LUMIN CORRESP;NO TENER INSTAL UN VEH ESPEC SENALIT LUMIN CORRESP;No tenir instal.lada, un vehicle especial, la senyalitzacio lluminosa corresponent;-;2017-07-28;9999-12-31;71;RGC;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
3280;TAXA ALCOH SUP 0.15 MG/L-SENS PERMIS COND;TASA ALCOH SUP O.15 MG/L-SIN PERMISO COND;Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,15 mg/l i sense tenir el permis / la llicencia de conduir;-;1900-01-03;9999-12-31;20. 1;RGC;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
3281;TASA ALCOHOL CONDUCTOR MES DE 0.15 MG/L;TASA ALCOHOL CONDUCTOR MAS DE 0.15 MG/L;Conduir un vehicle. Taxa alcohol en aire expirat superior a 0,15 mg/l, conductor professional, servei public, mercaderies perilloses, transports especials, novells...;-;2016-01-31;9999-12-31;20. 1;RGC;500;M;4;Il.lm./a Sr./a  Regidor/a de Mobilitat
3282;REINCIDIR EN CONDUCCIO AMB TAXA ALCOHOL SUPERIOR A 0.15MG/L;REINCIDIR EN CONDUCCION CON TASA ALCOHOL SUPERIOR A 0.15MG/L;Conductor reincident. Conduir un vehicle. Taxa d'alcohol en aire expirat superior a 0,15 mg/l, conductor professional, servei public, mercaderies perilloses, transports especials, novells;-;2016-01-31;9999-12-31;20. 1;RGC;1000;M;4;Il.lm./a Sr./a  Regidor/a de Mobilitat
3283;CONDUIR BICI/VMP/CICLE AMB TAXA ALCOHOL SUP 0.25 MG/L;CONDUCIR BICI/VMP/CICLO AMB TAXA ALCOHOL SUP 0.25 MG/L;Conduir una BICI/VMP/CICLE. Taxa d'alcohol en aire expirat superior a 0,25 mg/l;-;2017-07-01;9999-12-31;20. 1;RGC;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
