price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
2200,2,2,TRUE,FALSE,121,apartment,Eixample
3500,0,3,TRUE,TRUE,260,apartment,Eixample
1950,2,2,TRUE,TRUE,85,apartment,Eixample
1800,2,1,TRUE,FALSE,92,apartment,Eixample
1500,2,1,FALSE,FALSE,45,apartment,Eixample
700,2,1,FALSE,FALSE,50,apartment,Ciutat Vella
840,2,1,TRUE,FALSE,50,apartment,Les Corts
1250,2,2,TRUE,FALSE,151,apartment,Sant Martí
650,1,1,TRUE,FALSE,40,apartment,Gracia
1200,1,1,TRUE,FALSE,40,apartment,Eixample
2505,1,1,FALSE,FALSE,90,apartment,Sant Martí
1260,1,1,FALSE,FALSE,52,apartment,Ciutat Vella
1217,1,1,FALSE,FALSE,40,apartment,Ciutat Vella
3400,5,3,TRUE,FALSE,220,apartment,Sarria-Sant Gervasi
1600,2,1,TRUE,FALSE,50,apartment,Ciutat Vella
1936,1,1,TRUE,FALSE,69,apartment,Sant Martí
2300,2,2,TRUE,FALSE,62,apartment,Sant Martí
680,1,1,FALSE,FALSE,36,apartment,Ciutat Vella
1050,2,1,FALSE,FALSE,55,apartment,Les Corts
550,2,1,FALSE,FALSE,35,apartment,Ciutat Vella
968,1,1,FALSE,FALSE,43,apartment,Ciutat Vella
6213,3,2,FALSE,FALSE,120,apartment,Sant Martí
1702,2,1,FALSE,FALSE,65,apartment,Eixample
1670,1,1,FALSE,FALSE,50,apartment,Ciutat Vella
2600,2,2,FALSE,FALSE,95,apartment,Ciutat Vella
1300,2,1,TRUE,FALSE,80,apartment,Ciutat Vella
850,0,1,FALSE,FALSE,54,apartment,Ciutat Vella
725,0,1,TRUE,FALSE,40,apartment,Eixample
550,1,1,TRUE,FALSE,37,apartment,Sant Andreu
940,2,1,TRUE,FALSE,66,apartment,Sants-Montjuic
1650,3,3,TRUE,FALSE,140,apartment,Eixample
725,0,1,TRUE,FALSE,40,apartment,Eixample
700,0,1,FALSE,FALSE,38,apartment,Ciutat Vella
670,1,1,FALSE,FALSE,32,apartment,Ciutat Vella
840,2,1,TRUE,FALSE,60,apartment,Ciutat Vella
800,2,1,TRUE,FALSE,65,apartment,Sarria-Sant Gervasi
1500,2,1,TRUE,FALSE,80,apartment,Gracia
3500,1,1,TRUE,FALSE,66,apartment,Sant Martí
14800,1,1,TRUE,FALSE,80,apartment,Ciutat Vella
6126,3,2,FALSE,FALSE,130,apartment,Eixample
1900,1,1,FALSE,FALSE,60,apartment,Eixample
2970,3,2,FALSE,FALSE,100,apartment,Eixample
1540,4,1,FALSE,FALSE,73,apartment,Eixample
1500,3,1,FALSE,FALSE,75,apartment,Sants-Montjuic
3080,1,1,FALSE,FALSE,115,apartment,Sarria-Sant Gervasi
4000,3,2,FALSE,FALSE,85,apartment,Les Corts
2492,3,2,FALSE,FALSE,71,apartment,Eixample
1760,1,1,FALSE,FALSE,60,apartment,Sant Martí
2922,3,2,FALSE,FALSE,71,apartment,Ciutat Vella
3540,5,4,FALSE,FALSE,120,apartment,Eixample
2388,2,2,FALSE,FALSE,79,apartment,Ciutat Vella
1739,4,2,FALSE,FALSE,125,apartment,Ciutat Vella
2148,3,2,FALSE,FALSE,90,apartment,Eixample
1211,4,2,FALSE,FALSE,140,apartment,Ciutat Vella
1249,4,2,FALSE,FALSE,140,apartment,Ciutat Vella
1249,4,2,FALSE,FALSE,140,apartment,Ciutat Vella
2142,4,2,FALSE,FALSE,98,apartment,Eixample
2331,4,2,FALSE,FALSE,95,apartment,Eixample
2293,1,1,FALSE,FALSE,50,apartment,Eixample
6998,3,2,FALSE,FALSE,130,apartment,Eixample
2447,3,1,FALSE,FALSE,77,apartment,Eixample
7192,2,1,FALSE,FALSE,55,apartment,Eixample
1250,1,1,FALSE,FALSE,35,apartment,Eixample
1600,2,1,FALSE,FALSE,65,apartment,Ciutat Vella
3180,3,3,TRUE,FALSE,220,apartment,Eixample
1900,2,2,TRUE,FALSE,96,apartment,Ciutat Vella
1900,2,3,TRUE,FALSE,150,apartment,Les Corts
7200,2,3,TRUE,FALSE,164,apartment,Sant Martí
1300,2,1,TRUE,TRUE,70,apartment,Eixample
1150,1,1,TRUE,FALSE,65,apartment,Ciutat Vella
1100,2,2,TRUE,FALSE,70,apartment,Sarria-Sant Gervasi
1800,1,1,TRUE,FALSE,46,apartment,Sant Martí
3000,2,2,TRUE,FALSE,77,apartment,Sant Martí
1300,4,1,TRUE,FALSE,107,apartment,Les Corts
1875,3,1,FALSE,TRUE,105,apartment,Ciutat Vella
1380,4,2,TRUE,FALSE,100,apartment,Eixample
1000,2,1,TRUE,FALSE,77,apartment,Eixample
850,3,1,FALSE,FALSE,46,apartment,Gracia
1512,1,1,FALSE,FALSE,60,apartment,Sant Martí
2179,3,2,FALSE,FALSE,109,apartment,Eixample
1540,3,1,FALSE,FALSE,70,apartment,Eixample
4000,2,1,FALSE,FALSE,60,apartment,Eixample
1905,1,1,FALSE,FALSE,60,apartment,Horta- Guinardo
2500,1,1,FALSE,FALSE,45,apartment,Eixample
2142,4,2,FALSE,FALSE,100,apartment,Eixample
1436,4,2,FALSE,FALSE,120,apartment,Ciutat Vella
1246,1,1,FALSE,FALSE,40,apartment,Eixample
2970,3,2,FALSE,FALSE,130,apartment,Eixample
3373,2,1,FALSE,FALSE,62,apartment,Gracia
1250,1,1,FALSE,FALSE,35,apartment,Eixample
2252,4,2,FALSE,FALSE,100,apartment,Eixample
2142,4,2,FALSE,FALSE,100,apartment,Eixample
2288,4,2,FALSE,FALSE,100,apartment,Eixample
1661,1,1,FALSE,FALSE,45,apartment,Eixample
2354,3,2,FALSE,FALSE,92,apartment,Sant Martí
1377,1,1,FALSE,FALSE,20,apartment,Gracia
1640,3,1,FALSE,FALSE,65,apartment,Eixample
2063,3,2,FALSE,FALSE,100,apartment,Eixample
1643,2,1,FALSE,FALSE,60,apartment,Sants-Montjuic
1500,1,1,FALSE,FALSE,35,apartment,Sant Andreu
2145,2,1,FALSE,FALSE,75,apartment,Ciutat Vella
2241,4,2,FALSE,FALSE,100,apartment,Eixample
1870,3,1,FALSE,FALSE,85,apartment,Ciutat Vella
1870,3,2,FALSE,FALSE,85,apartment,Ciutat Vella
1870,2,1,FALSE,FALSE,65,apartment,Eixample
1967,2,2,FALSE,FALSE,85,apartment,Eixample
2969,1,1,FALSE,FALSE,44,apartment,Gracia
2142,4,2,FALSE,FALSE,100,apartment,Eixample
1889,2,2,FALSE,FALSE,84,apartment,Eixample
2654,2,1,FALSE,FALSE,62,apartment,Sant Martí
2142,4,2,FALSE,FALSE,100,apartment,Eixample
1889,2,2,FALSE,FALSE,84,apartment,Eixample
2654,2,1,FALSE,FALSE,62,apartment,Sant Martí
2032,3,2,FALSE,FALSE,62,apartment,Ciutat Vella
5589,4,2,FALSE,FALSE,95,apartment,Eixample
1495,1,1,FALSE,FALSE,40,apartment,Ciutat Vella
1200,2,1,FALSE,FALSE,55,apartment,Ciutat Vella
