Time	User	ID	Text
Mon Apr 04 20:34:55 +0000 2016	nurieta007	717088079052468224	@HeuraVidal @lagentnormal33 Ho miraré!ara estic waiting for #NitidiaTV3
Mon Apr 04 20:34:54 +0000 2016	RedLibreTrata	717088072706486273	RT @moisesta: Les putes estudien idiomes... Podriem fer mil acudits si no fos q es la justificació d la tele3 d l'explotació de la dona...…
Mon Apr 04 20:34:51 +0000 2016	OliverMagdalena	717088063860707328	RT @OficialJoan: Què és "normal"? Eliminar estigmes és complicat però no impossible. #lagentnormal33 @MarquesAgnes Felicitats!
Mon Apr 04 20:34:46 +0000 2016	Luciasolc	717088041635078144	RT @imoraleda: Voldrien que les seves filles o fills fossin putes? #yonosoycomplice  #lagentnormal33
Mon Apr 04 20:34:40 +0000 2016	PinArt_cat	717088016381173760	RT @aleixcosta7: El dia que programes amb la filosofia de #LaGentNormal33 s’emetin a TV3 i no al 33 tindrem uns mitjans més sans i serem un…
Mon Apr 04 20:34:34 +0000 2016	PaulaVip	717087991232114689	RT @ejanet15: .#LaGentNormal33 #putafemista Tertulia  Normalidad siempre desde la Perpectiva TrabajoSom@s Profesionalidad dl Sexo https://…
Mon Apr 04 20:34:31 +0000 2016	RocioLeonAller	717087976916910080	RT @bernatescudero: @tv3cat @lagentnormal33 llavors, si és tan maco i tan segur prostituir-se, com és que hi ha tant tràfic de dones?? #tv3…
Mon Apr 04 20:34:30 +0000 2016	ClaudiaRiusL	717087974966562816	Una setmana més, molt bon programa de @lagentnormal33. S'està convertint en un must dels dilluns. Felicitats @MarquesAgnes i equip!
Mon Apr 04 20:34:30 +0000 2016	LetMePeeOnYou	717087973188235264	RT @lidiazagra: Escola d'idiomes moderns #goldenshower #lagentnormal33
Mon Apr 04 20:34:24 +0000 2016	ROSA_M_IBARRA	717087950073368576	RT @imoraleda: Per que estudien i es formen per a altres feines?Aquestes dones no son lliures malgrat ho vulguin fer veure #yonosoycomplice…
Mon Apr 04 20:34:24 +0000 2016	OliverMagdalena	717087949242953728	RT @MarcRiera20: Molt interessant aquest programa! #LaGentNormal33
Mon Apr 04 20:34:20 +0000 2016	Luciasolc	717087933380108288	RT @imoraleda: Per que estudien i es formen per a altres feines?Aquestes dones no son lliures malgrat ho vulguin fer veure #yonosoycomplice…
Mon Apr 04 20:34:20 +0000 2016	RedLibreTrata	717087932868403203	RT @MDDONESCAT: Prostitución: pacto entre hombres para repartise entre las mujeres #tv3complicetractamenors #lagentnormal33 https://t.co/BD…
