,desc_cpv,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
33," Radio, television, communication, telecommunication and related equipment",,1440319.8,341390.77,10434918.26,33030892.799999997,31400820.85,141349569.35000002,31592511.11,59308027.24,97207445.87,50881081.03
34, Real estate services,,149630.0,2130436.79,41053287.43,15138922.57,13913213.110000001,174106930.53,22594473.43,15736750.98,45550152.739999995,28092113.220000003
35," Recreational, cultural and sporting services",0.0,1279845.3,4852004.09,38215018.57,38913477.23,60200183.23,50676381.25,64749972.65,90084826.83,222126933.39,230086623.77
36, Repair and maintenance services,4630664.31,10714781.07,42540385.480000004,132096965.51,208275817.35,168410091.97,201205652.7,282215286.35,418204952.04,431651442.05,455455623.54
37, Research and development services and related consultancy services,,616682.19,1161392.3599999999,4488204.54,2512002.48,9144625.67,9342818.8,8446159.18,16674781.17,19145751.53,14748082.31
38," Security, fire-fighting, police and defence equipment",,403675.95999999996,34102.66,2243249.07,9405752.23,10488129.39,14190445.45,21204764.08,36346949.65,22616353.330000002,14314252.73
39, Services related to the oil and gas industry,,,,,,,527077.09,97680.68,55863.42,365877.35,458375.41000000003
40," Sewage-, refuse-, cleaning-, and environmental services",16778854.740000002,107719704.36,44734662.25,240717067.25,315151959.85,238966752.06,1419998764.59,884652500.32,394786735.02,1106677577.15,868668753.9
41, Software package and information systems,,110798.15,1078910.8499999999,19834858.54,34975208.58,504750019.37,62684389.15,154206441.19000003,130948177.41,200482196.19,235161339.46
42, Supporting and auxiliary transport services; travel agencies services,,290823.27,1757284.06,5406624.07,22229538.169999998,5500035.4399999995,89261425.4,29120477.64,90840672.07000001,524264961.07000005,156522064.44
43, Transport equipment and auxiliary products to transportation,74876.04000000001,2647558.0,137810132.22,48356604.92,399245832.27,99258960.23,204005435.87,386487265.67,326036524.58,205059909.94,321101932.4
44, Transport services (excl. Waste transport),19743606.74,4911594.35,2227942.59,50301993.199999996,21842272.04,37724870.65,556345217.47,123366960.33,239201329.87,774953512.5600001,49526339.4
45,Not Specified,84085801.58,90209045.75,248888950.64000002,317188730.84,252356098.49,205366414.01,383024798.69,111730471.87,22181672.41,254660745.97,65084735.77
