desc_cpv,offer_bucket,diff_abs,diff_pct
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
 Construction work,0,-16841.23999999999,-0.06619150378264056
 Construction work,0,-11325.929999999993,-0.07285814638363784
" Petroleum products, fuel, electricity and other sources of energy",0,-72150.0,-0.3132190145430866
 IT services,0,0.0,0.0
" Petroleum products, fuel, electricity and other sources of energy",0,0.0,0.0
 IT services,0,-2000.0,-0.035631569570639586
 Construction work,0,0.0,0.0
 Transport equipment and auxiliary products to transportation,0,0.0,0.0
 Business services,0,-1384.0,-346
 Construction work,0,-13855.819999999992,-0.12493083226780982
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
 Transport equipment and auxiliary products to transportation,0,-1398.9300000000003,-0.2210998966357628
 Repair and maintenance services,0,6050.0,inf
 Construction work,0,-478.1800000000003,-0.018391538461538473
Not Specified,0,-1437245.26,-1.0
 Construction work,0,-15969.349999999999,-0.20177274107359344
Not Specified,0,-459830.42,-1.0
Not Specified,0,-1837940.52,-1.0
" Sewage-, refuse-, cleaning-, and environmental services",0,-131874.45,-0.5360750000000001
" Architectural, construction, engineering and inspection services",0,-9000.0,-0.18
 Construction work,0,-10614.799999999988,-0.05320002554050284
 IT services,0,0.0,0.0
" Architectural, construction, engineering and inspection services",0,-1080.0,-0.06
 Construction work,0,-14271.950000000012,-0.045699995449837404
" Petroleum products, fuel, electricity and other sources of energy",0,-3906.2899999999972,-0.17355372635195013
 Business services,0,-7263.9,-0.48751006711409395
 Business services,0,-1711.5,-0.21
 Transport equipment and auxiliary products to transportation,0,-1461.5999999999985,-0.06999999999999992
" Medical equipments, pharmaceuticals and personal care products",0,-28305.12,-0.6225513742920034
" Medical equipments, pharmaceuticals and personal care products",0,-17161.2,-0.37744862570799664
" Medical equipments, pharmaceuticals and personal care products",0,-76195.59999999999,-0.9987559396312857
" Medical equipments, pharmaceuticals and personal care products",0,-76130.73999999999,-0.9979057683583449
" Medical equipments, pharmaceuticals and personal care products",0,-76272.31,-0.9997614382182004
" Medical equipments, pharmaceuticals and personal care products",0,-76212.83,-0.9989817868565829
" Medical equipments, pharmaceuticals and personal care products",0,-76193.23,-0.998724874168491
" Medical equipments, pharmaceuticals and personal care products",0,-76288.06999999999,-0.9999680169918905
" Medical equipments, pharmaceuticals and personal care products",0,-73953.01,-0.9693605403870023
" Medical equipments, pharmaceuticals and personal care products",0,-74710.61,-0.9792910022491658
" Medical equipments, pharmaceuticals and personal care products",0,-73551.31,-0.9640951410601397
" Medical equipments, pharmaceuticals and personal care products",0,-76192.17,-0.9987109799108697
" Medical equipments, pharmaceuticals and personal care products",0,-76217.56999999999,-0.9990439177821724
" Medical equipments, pharmaceuticals and personal care products",0,-76123.29999999999,-0.9978082463991916
" Medical equipments, pharmaceuticals and personal care products",0,-75996.62,-0.9961477515355449
" Medical equipments, pharmaceuticals and personal care products",0,-75557.92,-0.9903973639709579
" Medical equipments, pharmaceuticals and personal care products",0,-60786.579999999994,-0.7967777381485587
" Medical equipments, pharmaceuticals and personal care products",0,-75902.12,-0.9949090653608161
" Medical equipments, pharmaceuticals and personal care products",0,-30682.749999999993,-0.4021830500281096
" Medical equipments, pharmaceuticals and personal care products",0,-76277.4,-0.9998281568703631
" Medical equipments, pharmaceuticals and personal care products",0,-76252.34999999999,-0.9994998067256333
" Medical equipments, pharmaceuticals and personal care products",0,-73091.54,-0.958068572355854
" Medical equipments, pharmaceuticals and personal care products",0,-76202.06999999999,-0.9988407470339364
" Medical equipments, pharmaceuticals and personal care products",0,-75318.93999999999,-0.9872648642668661
" Medical equipments, pharmaceuticals and personal care products",0,-74365.26,-0.9747642269005673
" Medical equipments, pharmaceuticals and personal care products",0,-76255.45,-0.9995404408752806
" Medical equipments, pharmaceuticals and personal care products",0,-76242.48999999999,-0.9993705639141749
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,-50320.0,-0.6253262085249162
" Medical equipments, pharmaceuticals and personal care products",0,-30150.0,-0.3746737914750839
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,-173396.7,-0.8754703091771634
" Medical equipments, pharmaceuticals and personal care products",0,-194402.54,-0.981527628833916
" Medical equipments, pharmaceuticals and personal care products",0,-145456.66,-0.7344025987926964
" Medical equipments, pharmaceuticals and personal care products",0,-107048.6,-0.5404824367417748
" Medical equipments, pharmaceuticals and personal care products",0,-198043.5,-0.9999106336829222
" Medical equipments, pharmaceuticals and personal care products",0,-173039.95,-0.8736690982383223
" Medical equipments, pharmaceuticals and personal care products",0,-196979.25,-0.9945372945332048
