supplier_name,desc_cpv,amount_awarded
"UTE_FCC_CONSTRUCCION,SA_FCC_INDUSTRIAL_E_INFRAESTRUCTURAS_ENERGÉTICAS_SAU_ COMSA,.SAU_COMSA_INSTALACIONES_Y_SISTEMAS_INDUSTRIALES,SAU_UTE_abreujada...", Construction work,114064000.0
"SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SAU (AGBAR)", Construction work,112234556.09
"GLAXOSMITHKLINE, S.A. Societat Unipersonal"," Medical equipments, pharmaceuticals and personal care products",110564852.75
UTE VALORIZA SERVICIOS MEDIOAMBIENTALES-ROMEROPOLO," Sewage-, refuse-, cleaning-, and environmental services",106424359.2
"NTT DATA SPAIN, S.L.U.", IT services,106011208.49000001
"ESTABANELL Y PAHISA MERCATOR, SAU"," Petroleum products, fuel, electricity and other sources of energy",106000000.0
"SANOFI-AVENTIS,S.A."," Medical equipments, pharmaceuticals and personal care products",105956016.77
"MULTISERVEIS NDAVANT, SL"," Sewage-, refuse-, cleaning-, and environmental services",105599334.67999999
UTE SIRT CONNECTA, Construction work,105108263.35
"Comsa,SAU & Comsa Instalaciones y Sistemas Industrial,SAU & Fcc Construcción,SA & FCC IndustrialeInfraestruct(UTE)", Construction work,104974125.45
"KPMG ASESORES, S.L.", IT services,103966328.31
"FCC MEDIO AMBIENTE, SAU"," Sewage-, refuse-, cleaning-, and environmental services",103663461.11
"SOPRA STERIA ESPAÑA, S.A.", IT services,103267473.78
CADAGUA-FERROVIAL-CONST. RUBAU-AREMA, Construction work,101830262.62
"FCC MEDIO AMBIENTE, S.A.U."," Sewage-, refuse-, cleaning-, and environmental services",101328447.89
"STALER RAIL VALENCIA, SA", Transport equipment and auxiliary products to transportation,99500000.0
"UTE Indra Soluciones Tecnologías de la Información, SLU - T-Systems ITC Iberia, SAU", IT services,96833360.0
"GBI PRAPEC SA,"," Sewage-, refuse-, cleaning-, and environmental services",96283916.88
"AIGÜES DE BARCELONA, EMPRESA METROPOLITANA DE GESTIÓ DEL CICLE INTEGRAL DE L’AIGUA SA"," Sewage-, refuse-, cleaning-, and environmental services",95573081.0
"SECURITAS SEGURIDAD ESPAÑA, S.A.", Business services,94116266.10000001
"Total Electricidad y Gas España, SA"," Petroleum products, fuel, electricity and other sources of energy",93600000.0
"Comsa, SAU & Comsa Instalaciones y Sistemas Industriales, SAU & Sacyr Construcción, SA & VOPI-4, SA (UTE)", Construction work,90939397.47
"FCC MEDIOAMBIENTE, S.A.U."," Sewage-, refuse-, cleaning-, and environmental services",87753370.64
"Comsa, SAU & Comsa Instalaciones y Sistemas Industriales, SAU & Sacyr Construcción, SA & VOPI-4, SA", Construction work,86597699.99
