desc_cpv,offer_bucket,n,diff_pct_mean,diff_pct_median,diff_pct_p25,diff_pct_p75,budget_sum,awarded_sum
" Sewage-, refuse-, cleaning-, and environmental services",2,1079,,-0.0555556544049877,-0.15967078989366396,-0.00569103888836779,720725113.75,763209051.4300001
" Sewage-, refuse-, cleaning-, and environmental services",3-4,1445,,-0.07300001081315624,-0.17857142857142858,-0.01768034151770799,1844564450.59,1734673851.6599998
" Sewage-, refuse-, cleaning-, and environmental services",5-9,1023,,-0.10685375067458176,-0.23423628315075493,-0.04356359977259017,2432249192.84,2108924047.04
 Transport equipment and auxiliary products to transportation,0,40,,-0.03370862394436165,-0.08093349439770263,0.0,18623247.61,3956301.06
 Transport equipment and auxiliary products to transportation,1,1599,,-0.0033774136581443547,-0.06234007962840081,0.0,586769771.6,273222349.87
 Transport equipment and auxiliary products to transportation,10+,54,,-0.275030714040002,-0.5138912593148777,0.0,217959045.52,3271105.83
 Transport equipment and auxiliary products to transportation,2,630,,-0.04929226656840603,-0.13268815914903515,-0.004424426301853486,205579266.2,187904443.66
 Transport equipment and auxiliary products to transportation,3-4,611,,-0.1,-0.21941879024810357,-0.010549438327216106,705585850.81,555013888.97
 Transport equipment and auxiliary products to transportation,5-9,307,,-0.23,-0.348742587321471,-0.10541489438396652,167000809.15,95479306.79
Not Specified,0,83,,0.0,0.0,0.0,25781432.470000003,3070801.47
Not Specified,1,1181,,0.0,-0.00029595889402971715,0.0,408660568.9,567170318.93
Not Specified,10+,342,,-0.18519303953258776,-0.22005846128669132,-0.15,325603359.18,348401134.12
Not Specified,2,261,,-0.05997879514966624,-0.1931080863443968,0.0,66482859.32,54250062.78
Not Specified,3-4,339,,-0.11997095385466551,-0.208,-0.0019615384615384616,97536301.43,109081499.7
Not Specified,5-9,378,,-0.15004162848006147,-0.2349391578552855,-0.0887631712057205,199778454.51,145842432.37
